
> firebotsync@0.1.0 dev
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.139.84.97:3000
✓ Ready in 733ms

 POST /api/logs 200 in 53ms (next.js: 31ms, application-code: 22ms)
 POST /api/logs 200 in 12ms (next.js: 5ms, application-code: 7ms)
 POST /api/logs 200 in 39ms (next.js: 14ms, application-code: 25ms)
 POST /api/logs 200 in 15ms (next.js: 5ms, application-code: 10ms)
 POST /api/logs 200 in 10ms (next.js: 3ms, application-code: 7ms)
 POST /api/logs 200 in 17ms (next.js: 6ms, application-code: 11ms)
 POST /api/logs 200 in 16ms (next.js: 6ms, application-code: 10ms)
 POST /api/logs 200 in 26ms (next.js: 10ms, application-code: 16ms)
 POST /api/logs 200 in 11ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 11ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 34ms (next.js: 11ms, application-code: 23ms)
 POST /api/logs 200 in 8ms (next.js: 3ms, application-code: 5ms)
 POST /api/logs 200 in 41ms (next.js: 19ms, application-code: 22ms)
 POST /api/logs 200 in 11ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 31ms (next.js: 11ms, application-code: 21ms)
 POST /api/logs 200 in 59ms (next.js: 25ms, application-code: 34ms)
 POST /api/logs 200 in 11ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 24ms (next.js: 6ms, application-code: 19ms)
 POST /api/logs 200 in 42ms (next.js: 13ms, application-code: 29ms)
 POST /api/logs 200 in 12ms (next.js: 3ms, application-code: 9ms)
 POST /api/logs 200 in 13ms (next.js: 5ms, application-code: 8ms)
 POST /api/logs 200 in 8ms (next.js: 3ms, application-code: 5ms)
 POST /api/logs 200 in 74ms (next.js: 44ms, application-code: 30ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 15ms (next.js: 6ms, application-code: 8ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 5ms)
 POST /api/logs 200 in 20ms (next.js: 8ms, application-code: 12ms)
 POST /api/logs 200 in 9ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 16ms (next.js: 7ms, application-code: 9ms)
 POST /api/logs 200 in 12ms (next.js: 6ms, application-code: 5ms)
 POST /api/logs 200 in 11ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 30ms (next.js: 14ms, application-code: 16ms)
 POST /api/logs 200 in 11ms (next.js: 5ms, application-code: 5ms)
 POST /api/logs 200 in 9ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 15ms (next.js: 6ms, application-code: 9ms)
 POST /api/logs 200 in 16ms (next.js: 7ms, application-code: 10ms)
 POST /api/logs 200 in 22ms (next.js: 6ms, application-code: 16ms)
 POST /api/logs 200 in 12ms (next.js: 4ms, application-code: 8ms)
 POST /api/logs 200 in 11ms (next.js: 4ms, application-code: 7ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 33ms (next.js: 11ms, application-code: 21ms)
 POST /api/logs 200 in 110ms (next.js: 27ms, application-code: 83ms)
 POST /api/logs 200 in 11ms (next.js: 4ms, application-code: 7ms)
 POST /api/logs 200 in 13ms (next.js: 6ms, application-code: 7ms)
 POST /api/logs 200 in 12ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 31ms (next.js: 9ms, application-code: 22ms)
 POST /api/logs 200 in 103ms (next.js: 13ms, application-code: 91ms)
 POST /api/logs 200 in 14ms (next.js: 4ms, application-code: 10ms)
 POST /api/logs 200 in 8ms (next.js: 3ms, application-code: 5ms)
 POST /api/logs 200 in 19ms (next.js: 6ms, application-code: 13ms)
 POST /api/logs 200 in 10ms (next.js: 5ms, application-code: 5ms)
 POST /api/logs 200 in 15ms (next.js: 8ms, application-code: 7ms)
 POST /api/logs 200 in 13ms (next.js: 4ms, application-code: 9ms)
 POST /api/logs 200 in 11ms (next.js: 3ms, application-code: 8ms)
 POST /api/logs 200 in 34ms (next.js: 12ms, application-code: 22ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 53ms (next.js: 17ms, application-code: 36ms)
 POST /api/logs 200 in 14ms (next.js: 4ms, application-code: 10ms)
 POST /api/logs 200 in 16ms (next.js: 5ms, application-code: 11ms)
 POST /api/logs 200 in 9ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 13ms (next.js: 4ms, application-code: 9ms)
 POST /api/logs 200 in 14ms (next.js: 6ms, application-code: 9ms)
 POST /api/logs 200 in 11ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 13ms (next.js: 4ms, application-code: 9ms)
 POST /api/logs 200 in 15ms (next.js: 5ms, application-code: 9ms)
 POST /api/logs 200 in 13ms (next.js: 4ms, application-code: 9ms)
 POST /api/logs 200 in 15ms (next.js: 7ms, application-code: 8ms)
 POST /api/logs 200 in 12ms (next.js: 4ms, application-code: 8ms)
 POST /api/logs 200 in 10ms (next.js: 3ms, application-code: 7ms)
 POST /api/logs 200 in 13ms (next.js: 5ms, application-code: 9ms)
 POST /api/logs 200 in 12ms (next.js: 5ms, application-code: 7ms)
 POST /api/logs 200 in 11ms (next.js: 5ms, application-code: 5ms)
 POST /api/logs 200 in 17ms (next.js: 7ms, application-code: 9ms)
 POST /api/logs 200 in 10ms (next.js: 3ms, application-code: 7ms)
 POST /api/logs 200 in 11ms (next.js: 4ms, application-code: 8ms)
 POST /api/logs 200 in 12ms (next.js: 5ms, application-code: 6ms)
 POST /api/logs 200 in 15ms (next.js: 6ms, application-code: 9ms)
 POST /api/logs 200 in 11ms (next.js: 4ms, application-code: 7ms)
 POST /api/logs 200 in 53ms (next.js: 19ms, application-code: 33ms)
 POST /api/logs 200 in 8ms (next.js: 3ms, application-code: 5ms)
 POST /api/logs 200 in 22ms (next.js: 8ms, application-code: 14ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 14ms (next.js: 4ms, application-code: 9ms)
 POST /api/logs 200 in 18ms (next.js: 4ms, application-code: 14ms)
 POST /api/logs 200 in 14ms (next.js: 5ms, application-code: 9ms)
 POST /api/logs 200 in 17ms (next.js: 9ms, application-code: 8ms)
 POST /api/logs 200 in 10ms (next.js: 3ms, application-code: 7ms)
 POST /api/logs 200 in 16ms (next.js: 5ms, application-code: 11ms)
 POST /api/logs 200 in 17ms (next.js: 4ms, application-code: 12ms)
 POST /api/logs 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/logs 200 in 67ms (next.js: 17ms, application-code: 49ms)
 POST /api/logs 200 in 14ms (next.js: 4ms, application-code: 11ms)
 POST /api/logs 200 in 30ms (next.js: 11ms, application-code: 20ms)
 POST /api/logs 200 in 21ms (next.js: 6ms, application-code: 15ms)
 POST /api/logs 200 in 12ms (next.js: 4ms, application-code: 8ms)
 POST /api/logs 200 in 21ms (next.js: 8ms, application-code: 13ms)
 POST /api/logs 200 in 170ms (next.js: 56ms, application-code: 115ms)
 POST /api/logs 200 in 9ms (next.js: 3ms, application-code: 6ms)
 POST /api/logs 200 in 15ms (next.js: 6ms, application-code: 9ms)
